Random,Date,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverters)
0.411772780653078,3/17/2017,0.68,7.72,6.44,4.22,83.80,8.97,29.24,30.03,6146.00,
0.505006478208216,2/3/2016,0.87,8.70,1.62,0.02,85.00,16.73,29.03,29.82,2775.00,
0.721607409325235,2/9/2017,0.21,10.00,-10.26,-13.85,72.67,9.59,29.52,30.32,1773.00,
0.277819051784661,6/1/2017,0.00,9.96,20.44,5.58,39.93,3.85,29.28,30.07,38827.00,
0.238963920814411,11/9/2016,0.08,9.93,7.15,4.51,78.98,6.46,29.51,30.31,24367.00,
0.013363920212213,4/8/2017,0.00,10.00,11.84,3.89,59.48,12.23,29.20,29.99,37237.00,
0.050033507304464,6/14/2017,0.29,9.89,26.60,21.03,71.38,10.89,29.12,29.92,29842.00,
0.425711225411111,4/30/2016,0.86,3.06,12.86,12.22,88.28,10.17,26.91,29.88,3219.00,
0.117784697426592,2/6/2017,0.64,3.90,4.03,3.44,93.94,7.40,29.07,29.86,4422.00,
0.289750151061188,11/12/2016,0.01,9.88,3.87,0.07,74.03,2.29,29.60,30.40,25110.00,
0.512398818456932,5/24/2016,0.17,10.00,22.71,11.86,49.43,10.08,29.22,30.01,33236.00,
0.995861129471935,4/5/2017,1.00,8.38,8.04,7.15,92.91,17.46,28.85,29.64,8828.00,
0.186812604551981,10/18/2017,0.00,10.00,13.77,6.94,67.45,8.71,29.36,30.16,29589.00,
0.827771257328721,4/24/2016,0.22,7.50,17.17,10.37,65.19,10.07,29.15,29.94,35230.00,
0.714244853076073,1/14/2017,0.95,5.09,-0.61,-1.37,92.61,4.77,29.67,30.47,2549.00,
0.508158497349444,2/4/2016,0.37,10.00,-2.47,-5.89,74.52,9.46,29.46,30.26,28695.00,
0.601509322501121,6/9/2017,0.25,10.00,23.82,11.65,45.23,10.35,29.08,29.87,34267.00,
0.665260290417476,3/7/2016,0.75,9.81,11.55,7.68,76.49,11.57,29.14,29.93,8605.00,
0.663314938748152,5/8/2017,0.38,10.00,12.32,5.29,61.92,6.62,29.26,30.06,26564.00,
0.375329331699131,3/12/2017,0.25,10.00,-0.57,-11.50,44.01,4.00,29.57,30.37,31249.00,
0.245386519900113,8/4/2016,0.09,9.28,25.34,22.05,76.96,2.73,29.17,29.97,26909.00,
